No.;POI_Name_Arabic;POI_Name_English;Category;Food_Type;Phone_Number;Mobile_Number;Street_Name ;District;URL;Latitude;Longitude;Paymentm
3;"„ÿ⁄„ „ÿ⁄„‰«
";mutemna Restaurant ;Restaurant ;BURGERS;;;King Fahd Branch Rd;Al Arid;;24.829995;46.612870;›Ì“«
16;„Ê·”Ì“ »—Ã—;Molciz Burger;Restaurant ;BURGERS;;"00966 59 328 2856
";King Fahd Rd;Al Arid;;24.835424;46.609984;ﬂ«‘
17;"»Ê›ÌÂ
";"Buffet
";Restaurant;Fast Food;;"00966 53 552 8162
";King Fahd Branch Rd;Al Arid;;24.835536;46.609929;„«” —
20;œ«‰ﬂ‰ œÊ‰ ”;Dunkin' Donuts;Restaurant;PASTERIE;"
00966 11 465 7008";"
";King Fahd Rd;Al Arid;"dunkindonuts.sa
";24.837611;46.608895;ﬂ«‘
22;"»«”ﬂ‰ —Ê»‰“
";"Baskin Robbins
";Restaurant;ICE CREAM;"00966 13 834 3410
";;King Fahd Rd;Al Arid;baskinrobbinsmea.com;24.837490;46.608959;„«” —
24;œÊÂ „ÿ⁄„ Ê„ﬁÂÏ;DOOH Cafe & Restaurant;Restaurant;Cafe & Restaurant;;00966 53 194 0220;King Fahd Branch Rd;Al Arid;dooh.company;24.837726;46.608836;›Ì“«
25;Â—›Ì;Herfy;Restaurant;Fast food;00966 9200 01111;;King Fahd Rd;Al Arid;herfy.com;24.838142;46.608623;›Ì“«
35;»Ê›ÌÂ «‘—«ﬁ… —Ì„«”;Bufih Ashraqt Rimas;Restaurant;;;;King Fahd Branch Rd;Al Arid;;24.841505;46.606922;ﬂ«‘
43;„ÿ⁄„ —Ê«›œ «·⁄—»;Rawafid Alarab Restaurant;Restaurant;;;;King Fahd Branch Rd;Al Arid;;24.846402;46.604430;ﬂ«‘
44;„ÿ⁄„ “«ÊÌ… —«Ì“;zawiat rayz Restaurant ;Restaurant;;00966 11 812 4853;;King Fahd Branch Rd;Al Arid;;24.848711;46.603289;„«” —
61;»Ê›ÌÂ ‘«Ê—„«;Shawerma Buffet;Restaurant;;;;King Fahd Branch Rd;Al Arid;;24.850563;46.602353;›Ì“«
74;„ÿ⁄„;Restaurant;Restaurant;;;;King Fahd Branch Rd;Al Arid;;24.860216;46.597417;ﬂ«‘
114;›Ê«· «·ÿ«∆›;Fawal AlTaif;Restaurant;;;00966 53 324 9288;King Abdulaziz Rd;Al Arid;;24.882627;46.611292;„«” —
115;›Ê«· «·ÿ«Ì›;Fawal Altaeef;Restaurant;;;00966 55 222 7830;King Abdulaziz Rd;Al Arid;;24.882692;46.611256;ﬂ«‘
122;«Ì”ﬂ—Ì„ —Ê·“;Ice Cream Rolls;Restaurant;ICE CREAM;;;King Fahd Branch Rd;Al Arid;;24.871440;46.591748;„«” —
129;„ÿ⁄„ «»Ê ÂÌÀ„;Abu Haytham Restaurant;Restaurant;;;;King Fahd Branch Rd;Al Arid;;24.875808;46.589514;›Ì“«
133;„ÿ⁄„ ›ÿ«Ì—;Fatayr Restaurant;Restaurant;;;00966 50 356 8079;King Fahd Branch Rd;Al Arid;;24.876821;46.588996;›Ì“«
137;„‘ÊÌ«  Ê—“;Barbecue and rice;Restaurant;GRILL;;00966 50 320 1874;King Fahd Branch Rd;Al Arid;;24.877065;46.588873;ﬂ«‘
138;”ÊÌ  ›«ﬂ Ê—Ì;sweet factory;Restaurant;;;;Rihana Bint Zaid St;Al Arid;;24.881643;46.603158;›Ì“«
173;„ÿ«⁄„ Ê„ÿ«»Œ «·ŒÌ„… «·‘⁄»Ì…;Mataeim Wamatabikh Alkhayma Alshaebia;Restaurant;;;00966 53 541 6153;King Abdulaziz Rd;Al Arid;;24.893119;46.604812;ﬂ«‘
186;„ÿ⁄„ ﬁ’Ê— Ì«ﬁÌÊ„ «·»Œ«—Ì;Qasoor Bukhari Restaurant;Restaurant;;;;King Abdulaziz Rd;Al Arid;;24.906443;46.600228;„«” —
202;„ÿ⁄„ »Œ«—Ì;Bwakhari Restaurant;Restaurant;;;;Abi Bakr As Siddiq Rd;Al Arid;;24.912805;46.617892;ﬂ«‘
206;„ÿ⁄„ ‘Ê«ÿÌ¡ «·Ì„‰;Shawatia' Alyaman Restaurant;Restaurant;;;00966 50 788 2298;King Abdulaziz Rd;Al Arid;;24.903287;46.601328;„«” —
228;«·›Õ„ «·⁄—»Ì;Arabian Grill;Restaurant;GRILL;;00966 57 184 5518;King Abdulaziz Rd;Al Arid;;24.895255;46.605407;›Ì“«
244;„ÿ⁄„ »Œ«—Ì;Bukhari Restaurant;Restaurant;;;;King Abdulaziz Rd;Al Arid;;24.888171;46.608959;›Ì“«
250;„ÿ⁄„ «·»Œ«—Ì;Bukhari Restaurant;Restaurant;;;;Rihana Bint Zaid St;Al Arid;;24.891163;46.625395;ﬂ«‘
252;„Œ»“  „Ì” «·⁄‰“Ì;Tmis Anzi bakery;Restaurant;;;;Rihana Bint Zaid St;Al Arid;;24.891285;46.625684;›Ì“«
264;"„ÿ⁄„ «·⁄‰“Ì «·»Œ«—Ì
";Al Anzi Bukhari Restaurant;Restaurant;;;;Abi Bakr As Siddiq Rd;Al Arid;;24.895618;46.626590;ﬂ«‘
267;„ÿ⁄„ »Œ«—Ì ”⁄Ìœ «·“Â—«‰Ì;Bukhari Saeed Al-Zahrani Restaurant;Restaurant;;;059 247 9324;Rihana Bint Zaid St;Al Arid;;24.889154;46.622120;„«” —
269;›Ê· Ê„ÿ»ﬁ;Fawal And Muttabiq;Restaurant;;;;Rihana Bint Zaid St;Al Arid;;24.888916;46.621562;ﬂ«‘
282;„ÿ⁄„ €“· «·‘«„;Ghazal Alshsham Restaurant;Restaurant;;;;King Abdulaziz Rd;Al Arid;;24.875249;46.615508;„«” —
286;„ÿ⁄„ ‰ﬂÂ… —Ê·«‰;Nakhat Rulan Restaurant ;Restaurant ;;;050 138 7073;King Abdulaziz Rd;Al Arid;;24.869134;46.618579;›Ì“«
295;«‰ ›«Ì›;N5;Restaurant;;;;King Abdulaziz Rd;Al Arid;;24.878266;46.619896;›Ì“«
296;·«—Ì‰ ﬂ« —Ì‰Ã;Laren Catering;Restaurant;;;055 208 3777;King Abdulaziz Rd;Al Arid;;24.878427;46.621371;ﬂ«‘
300;„ƒ””… ŒÿÊÿ „ Ê«“Ì… ··√€–Ì…;Bake Boss Catering;Restaurant;SNACK & BEVERAGES;;;Abi Bakr As Siddiq Rd;Al Arid;;24.881002;46.623601;›Ì“«
303;„Œ»“ Ê „Ì”;Bakery and Tmis;Restaurant ;PASTERIE;;;Abi Bakr As Siddiq Rd;Al Arid;;24.868890;46.640030;ﬂ«‘
305;„ÿ⁄„ „–«ﬁ «·ÕÌ«… «·»Œ«—Ì;Mazaq Alhayaat Restaurant;Restaurant;;;;Abi Bakr As Siddiq Rd;Al Arid;;24.868702;46.640123;„«” —
312;„ÿ⁄„ »Œ«—Ì;Bukhari Restaurant;Restaurant;;;050 960 5912;King Abdulaziz Rd;Al Arid;;24.870596;46.624610;ﬂ«‘
316;›Ê«· ”«—…;Fawal Sara;Restaurant;;;059 649 9099;King Abdulaziz Rd;Al Arid;;24.868528;46.619869;„«” —
321;„ÿ⁄„ «·√—“ «·„” ÊÌ;Al'arz Almustawi Restaurant;Restaurant;;011 281 9000;;King Abdulaziz Rd;Al Arid;;24.866197;46.620103;›Ì“«
324;Â—›Ì;Herfy;Restaurant;Fast Food;9200 01111;;King Abdulaziz Rd;Al Arid;herfy.com;24.858846;46.623791;›Ì“«
325;·Ì · ”Ì“—;Little Caesars;Restaurant;PIZZA;011 410 7500;;King Abdulaziz Rd;Al Arid;littlecaesarsksa.com;24.858637;46.623893;ﬂ«‘
326;„œÌ— «·»—Ã—;Burger boss;Restaurant;BURGERS;;054 534 2637;King Abdulaziz Rd;Al Arid;;24.858571;46.623926;›Ì“«
327;·Õ„Â Ê   »Ì·Â;Lahamah w Tatabilah;Restaurant;BURGERS;;050 044 8006;King Abdulaziz Rd;Al Arid;;24.858144;46.624145;ﬂ«‘
336;—€Ì› «·—«»Ì…;raghif alrrabia;Restaurant;;;;King Abdulaziz Rd;Al Arid;;24.856204;46.625119;„«” —
337;Õ·ÊÌ«  ﬂ«—„ÌÂ;Sweets Carmeh;Restaurant;PASTERIE;;055 674 7247;King Abdulaziz Rd;Al Arid;;24.856143;46.625147;ﬂ«‘
338;”‰«»· «·”·«„;Sanabel Alsalam;Restaurant;PASTERIE;;053 103 2781;King Abdulaziz Rd;Al Arid;safm.com.sa;24.856088;46.625166;„«” —
350;„ÿ⁄„ „·«⁄ﬁ «·»Œ«—Ì;Mateam Malaeiq Albukhari;Restaurant;;;;Prince Saud Ibn Abdullah Ibn Jalawi;Al Arid;;24.854773;46.633401;›Ì“«
351;›·«›· «·‘«„;Falafil Alshsham;"Restaurant

";;;;Prince Saud Ibn Abdullah Ibn Jalawi;Al Arid;;24.855249;46.634529;›Ì“«
377;„ÿ⁄„ «· «‰œ «—;L & R Restaurant;Restaurant;;;053 346 3388;Abi Bakr As Siddiq Rd;Al Arid;;24.867126;46.640922;ﬂ«‘
386;›Ê«· „⁄’Ê» «·ÿ«∆›;fwal maesub alttayif;Restaurant;;011 810 6167;;Abi Bakr As Siddiq Rd;Al Arid;;24.862870;46.643039;›Ì“«
387;„ÿ⁄„ «·»—”  «·Õ—«ﬁ;Restaurant Alberst burner;Restaurant;;;;Abi Bakr As Siddiq Rd;Al Arid;;24.862672;46.643138;ﬂ«‘
391;»Ì “« Â ;Pizza Hut;Restaurant;PIZZA;9200 00910;;Abi Bakr As Siddiq Rd;Al Arid;pizzahut.me;24.861620;46.643665;„«” —
396;»—Ã— ﬂ‰Ã;Burger King At Al-Bustan;Restaurant;BURGERS;;;King Abdulaziz Rd;Al Arid;;24.850874;46.636570;ﬂ«‘
